
30.49	93.04	red
33.70	96.57	red
39.50	79.89	red
43.50	65.30	red
37.93	55.14	red
40.28	52.93	red
38.32	58.34	red
37.07	59.23	red
34.56	93.81	red
34.80	58.23	red
52.12	7.85	red
55.64	17.57	red
49.14	17.90	red
28.21	33.48	red
25.16	48.51	red
22.34	61.33	red
42.71	41.10	red
52.04	28.07	red
46.47	26.52	red
39.18	21.10	red
45.53	32.04	red
61.91	50.50	red
47.41	10.61	red
33.78	89.50	red
69.75	82.10	red
30.96	48.29	red
63.48	48.73	red
65.28	20.88	red
34.48	90.61	red
63.56	90.72	red
32.99	94.48	red
33.54	91.38	red
31.90	93.15	red
34.80	94.92	red
23.82	88.07	red
57.13	67.29	red
36.36	75.91	red
27.12	27.07	red
33.54	96.57	green
33.70	96.57	green
32.92	94.48	green
33.23	94.36	green
30.56	93.04	green
31.90	93.26	green
34.40	90.61	green
33.78	89.50	green
33.39	91.38	green
33.70	91.38	green
63.79	90.72	green
63.48	90.72	green
61.91	50.50	green
62.07	50.61	green
23.90	88.07	green
36.29	75.80	green
43.57	65.19	green
42.79	41.22	green
45.53	31.93	green
46.47	26.52	green
52.12	27.85	green
39.18	21.10	green
