
42.71	71.16	red
27.35	64.31	red
29.70	70.06	red
24.22	73.48	red
34.25	70.83	red
37.70	58.67	red
39.89	80.77	red
22.65	59.23	red
38.71	75.47	red
35.89	90.50	red
27.35	64.20	green
22.57	59.23	yellow
24.22	73.48	green
29.78	70.06	green
34.17	70.83	green
38.71	75.36	green
39.97	80.77	green
35.97	90.50	green
42.71	71.16	green
37.62	58.78	green
22.57	59.23	green
70.69	22.43	red
69.67	24.53	red
74.29	20.11	red
70.77	27.62	red
18.57	7.96	red
71.00	27.51	green
70.85	27.62	green
69.75	24.42	green
70.69	22.43	green
74.22	20.22	green
78.68	34.81	green
