
NaN	NaN	
NaN	NaN	
NaN	NaN	
NaN	NaN	
NaN	NaN	
30.33	15.25	red
28.76	17.24	green
44.75	18.56	green
61.36	16.13	green
74.84	16.02	green
80.25	19.56	green
80.64	27.07	green
80.64	28.51	green
83.46	27.73	green
84.72	25.86	green
76.33	44.97	green
77.43	45.52	green
70.06	46.30	green
65.99	48.62	green
80.25	59.01	green
55.41	58.78	green
42.55	37.02	green
37.46	46.19	green
42.08	55.03	green
35.58	56.02	green
26.25	43.65	green
34.64	76.91	green
37.85	83.43	green
38.71	84.75	green
37.15	87.96	green
48.98	92.27	green
49.06	90.39	green
50.16	82.10	green
64.50	88.40	green
63.64	86.41	green
60.89	82.98	green
75.63	93.92	green
78.45	86.74	green
79.55	84.42	green
79.55	69.39	green
60.82	71.71	green
61.52	73.26	green
41.14	69.50	green
39.11	63.31	green
23.20	51.71	green
22.73	53.15	red
34.80	38.01	red
18.50	59.67	red
19.51	60.99	red
21.16	61.10	red
23.43	71.93	red
22.18	70.28	red
24.37	76.80	red
31.43	51.16	red
59.09	47.18	red
59.87	12.71	red
61.91	11.93	red
65.83	11.49	red
67.71	8.95	red
69.28	9.72	red
68.10	12.71	red
68.03	17.46	red
77.66	14.14	red
79.00	18.45	red
78.76	17.13	red
69.98	40.11	red
74.45	40.11	red
79.15	44.20	red
80.96	25.97	red
81.35	33.04	red
82.60	38.23	question
82.05	61.88	red
83.15	60.88	red
77.27	57.68	red
73.04	55.58	red
54.15	72.38	red
67.71	91.38	red
40.91	64.20	red
77.19	24.42	red
78.92	18.34	green
78.76	17.02	green
19.91	64.20	green
77.59	14.03	green
74.37	13.15	green
69.36	9.72	green
65.83	11.49	green
66.38	12.15	green
67.71	8.95	green
66.77	9.06	blue
48.75	52.27	green
45.77	48.07	green
61.05	24.20	green
78.53	92.82	green
66.93	55.36	green
24.29	76.80	green
23.43	71.82	green
19.51	67.29	green
19.51	60.99	green
21.24	61.10	green
22.18	70.17	green
23.43	70.17	green
23.20	67.51	green
25.31	70.61	green
31.97	67.62	green
36.91	72.93	green
80.96	60.22	green
77.27	57.68	green
73.04	55.58	green
81.97	61.77	green
83.15	60.77	green
83.39	52.15	green
85.97	57.24	green
81.66	35.14	green
81.97	37.02	green
82.21	40.66	red
59.01	82.10	green
58.78	83.87	green
55.88	86.85	green
54.62	89.28	green
54.15	72.49	green
55.56	70.61	green
48.59	67.96	green
47.34	65.75	green
42.71	65.86	green
43.73	66.08	green
52.59	42.10	green
66.22	37.13	green
42.71	59.89	green
76.80	27.73	green
77.19	24.42	green
58.93	32.38	green
56.66	30.94	green
53.84	33.37	green
24.22	80.77	green
34.25	66.85	green
62.70	57.24	green
60.42	58.56	green
30.41	15.03	green
42.63	18.67	green
80.64	71.16	green
79.70	71.16	green
