
68.34	67.40	red
62.23	11.27	red
34.56	91.60	red
67.55	77.79	red
33.86	45.64	red
76.18	14.14	red
55.88	18.45	red
27.66	74.59	red
66.77	75.47	red
41.22	43.87	red
75.55	12.60	red
50.16	19.34	red
25.86	75.36	red
30.17	79.89	red
71.24	44.31	red
40.13	84.75	red
55.96	78.34	red
38.48	19.01	red
66.69	75.25	green
67.08	75.47	green
66.85	75.47	green
66.61	75.69	green
68.34	67.29	green
56.03	78.34	green
71.32	44.20	green
33.93	45.64	green
41.22	43.87	green
75.63	12.38	green
76.02	14.03	green
40.13	84.64	green
34.64	91.71	green
30.17	80.00	green
27.66	74.70	green
25.71	75.14	green
25.86	75.36	green
38.48	18.78	green
50.24	19.12	green
56.03	18.45	green
62.15	11.27	green
67.40	77.57	green
67.63	77.57	green
